1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.544429,0.535723,0.324421,0.238632,0.184441,0.184991,0.200643,0.180029,0.175047
0.519298,0.534533,0.314129,0.230991,0.195230,0.191270,0.190457,0.171207,0.186922
0.545452,0.534033,0.312304,0.229820,0.196182,0.177509,0.177522,0.164240,0.180677
0.520130,0.512469,0.315122,0.241380,0.194743,0.185110,0.181718,0.167657,0.180005
0.544543,0.533361,0.307286,0.231588,0.206589,0.207127,0.193360,0.163240,0.179111
0.517971,0.508920,0.328246,0.215628,0.177827,0.181470,0.193368,0.174651,0.190813
0.547399,0.510541,0.343051,0.237067,0.177127,0.190297,0.186576,0.168273,0.174510
0.518999,0.508992,0.326184,0.235604,0.189602,0.190250,0.183187,0.166930,0.191991
0.544008,0.535809,0.322002,0.242440,0.188741,0.208185,0.181031,0.167539,0.184029
0.520407,0.507553,0.315658,0.235973,0.181242,0.200197,0.201255,0.174227,0.180550
0.545732,0.510045,0.313827,0.237588,0.194749,0.189961,0.194410,0.176337,0.180962
0.520962,0.515682,0.309634,0.235877,0.195326,0.186816,0.171983,0.170031,0.176537
0.546913,0.509692,0.309458,0.237272,0.201319,0.184766,0.176237,0.169170,0.203276
0.519019,0.511754,0.298599,0.234636,0.196873,0.184516,0.189831,0.170623,0.197124
0.520550,0.511111,0.316824,0.241255,0.197208,0.195584,0.175442,0.175162,0.182563
0.548483,0.530772,0.313073,0.240295,0.191977,0.214167,0.174942,0.170410,0.172758
0.520359,0.533481,0.322011,0.240808,0.185605,0.208989,0.166843,0.168987,0.180644
0.521134,0.509073,0.312695,0.229058,0.193008,0.184115,0.163568,0.163133,0.185945
0.547202,0.519121,0.309910,0.243557,0.201826,0.199924,0.177350,0.171679,0.196036
0.520467,0.509495,0.305941,0.242640,0.189172,0.206154,0.162439,0.186139,0.177361
0.519220,0.529773,0.317995,0.231889,0.192806,0.210408,0.178097,0.172092,0.181933
0.548027,0.529563,0.317961,0.249725,0.189383,0.195370,0.189575,0.164415,0.176895
0.518003,0.534262,0.315699,0.243010,0.198779,0.188991,0.169329,0.168383,0.176221
0.543206,0.509795,0.312364,0.247170,0.192756,0.188754,0.180468,0.166978,0.176368
0.547312,0.511967,0.314567,0.243597,0.190078,0.187905,0.183324,0.167269,0.179531
0.523551,0.511714,0.318598,0.229688,0.202094,0.201392,0.169526,0.170099,0.177845
0.520091,0.507469,0.329183,0.232573,0.205576,0.213016,0.185741,0.172341,0.191024
0.547115,0.504694,0.318482,0.237025,0.190315,0.214796,0.170589,0.169502,0.174188
0.548118,0.507979,0.311179,0.241334,0.198026,0.195616,0.186696,0.168080,0.184021
0.518383,0.536047,0.319483,0.238214,0.181479,0.187258,0.190938,0.178209,0.176125
0.548989,0.534991,0.310354,0.243853,0.191084,0.182222,0.183745,0.168150,0.181748
