1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.581669,0.330386,0.180240,0.126465,0.106362,0.102167,0.101168,0.101761,0.103749
0.582246,0.330721,0.180117,0.126623,0.106202,0.102014,0.100923,0.101952,0.103428
0.583306,0.329455,0.180493,0.126224,0.106420,0.102173,0.100967,0.101755,0.103786
0.582296,0.332609,0.180309,0.126647,0.106617,0.102067,0.100817,0.101922,0.103551
0.581899,0.327372,0.180620,0.126694,0.106525,0.101989,0.100829,0.101795,0.103619
0.596199,0.323426,0.180360,0.126494,0.106616,0.101963,0.100897,0.149699,0.103453
0.596240,0.322951,0.180491,0.126643,0.106504,0.149729,0.100814,0.102207,0.104063
0.594288,0.322811,0.180160,0.126518,0.156453,0.102134,0.100816,0.101786,0.103477
0.597298,0.323038,0.179766,0.126466,0.106477,0.149961,0.100975,0.101749,0.103872
0.596989,0.322886,0.179708,0.126815,0.106636,0.101979,0.100843,0.101724,0.103790
0.593042,0.326498,0.179749,0.126743,0.106529,0.102161,0.100930,0.101792,0.103839
0.594758,0.332327,0.179854,0.126622,0.106457,0.101983,0.100975,0.102798,0.103881
0.593022,0.331979,0.180142,0.126663,0.106422,0.102128,0.100926,0.102067,0.104087
0.591862,0.332444,0.179657,0.126012,0.106432,0.149914,0.100918,0.101690,0.103697
0.592424,0.332800,0.179877,0.126657,0.106574,0.102209,0.101229,0.101677,0.103917
0.594678,0.330435,0.179637,0.125986,0.106423,0.150010,0.100850,0.101655,0.103798
0.594645,0.331516,0.179850,0.125216,0.106496,0.102106,0.100920,0.101710,0.103312
0.592846,0.330503,0.179546,0.124927,0.106456,0.102017,0.100833,0.101679,0.104234
0.593474,0.330244,0.180508,0.125065,0.106450,0.150096,0.100840,0.102062,0.104056
0.593841,0.331534,0.178696,0.125241,0.106537,0.102079,0.100858,0.101696,0.103503
0.592508,0.331881,0.175240,0.125050,0.106570,0.101915,0.101055,0.101894,0.103786
0.591667,0.332002,0.175165,0.124915,0.106436,0.102251,0.100833,0.101768,0.103788
0.593973,0.330385,0.175128,0.125165,0.106464,0.102102,0.100859,0.101917,0.103693
0.597143,0.326898,0.175172,0.125143,0.106447,0.149961,0.101079,0.101818,0.104048
0.598188,0.325486,0.179280,0.125497,0.106353,0.102293,0.100826,0.102082,0.103819
0.592990,0.327791,0.175392,0.124902,0.106693,0.150007,0.100812,0.102047,0.104209
0.592551,0.333851,0.175435,0.125042,0.106490,0.150210,0.100984,0.101899,0.104144
0.592011,0.334158,0.175111,0.124941,0.106458,0.102078,0.100865,0.101750,0.103159
0.592981,0.334908,0.175016,0.125495,0.106580,0.150129,0.100872,0.101861,0.103755
0.592276,0.332834,0.175889,0.125240,0.106371,0.102378,0.100782,0.101644,0.104014
0.592109,0.333063,0.176018,0.125169,0.106390,0.102198,0.100807,0.101850,0.103845
