1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.538564,0.452761,0.267077,0.180797,0.160007,0.154723,0.152501,0.155767,0.155142
0.538048,0.449528,0.265372,0.183116,0.162142,0.153970,0.150091,0.160285,0.156380
0.538773,0.450500,0.269280,0.180590,0.152354,0.154626,0.158695,0.160920,0.156255
0.539622,0.453876,0.262628,0.178057,0.156610,0.149598,0.156669,0.161522,0.154013
0.538958,0.451131,0.264881,0.182940,0.155539,0.152981,0.153934,0.156260,0.159243
0.539594,0.453811,0.265002,0.183833,0.155526,0.156312,0.153854,0.159254,0.155555
0.539347,0.450999,0.262574,0.181599,0.157246,0.149820,0.158160,0.154876,0.154314
0.539449,0.453146,0.265092,0.180034,0.156058,0.152462,0.152271,0.155075,0.156689
0.538711,0.453264,0.261862,0.179878,0.154534,0.155085,0.152827,0.156775,0.155155
0.539470,0.451008,0.261976,0.180326,0.157097,0.156726,0.154264,0.157244,0.153247
0.538597,0.451069,0.268594,0.179584,0.156697,0.150587,0.154448,0.158207,0.155878
0.538970,0.447255,0.262656,0.180844,0.153069,0.157692,0.155112,0.156868,0.157550
0.537330,0.443767,0.260862,0.176129,0.155713,0.152863,0.155440,0.155037,0.159008
0.539041,0.448836,0.263418,0.176260,0.158260,0.149065,0.153557,0.154413,0.156691
0.541662,0.450373,0.263814,0.181619,0.154633,0.152739,0.152318,0.153721,0.155732
0.539460,0.452340,0.262084,0.175110,0.152508,0.154144,0.150934,0.153235,0.154323
0.538885,0.454524,0.264393,0.179370,0.156909,0.150888,0.151932,0.156081,0.157167
0.539157,0.451846,0.264314,0.182239,0.163669,0.155050,0.153789,0.154319,0.153063
0.533768,0.455104,0.260630,0.178192,0.153894,0.152315,0.153323,0.159339,0.159162
0.532614,0.453844,0.263509,0.179929,0.156934,0.156908,0.152338,0.154463,0.156368
0.532320,0.450192,0.254029,0.184898,0.152439,0.154177,0.157118,0.154423,0.154321
0.531546,0.451114,0.251271,0.188897,0.154281,0.154688,0.152895,0.157029,0.156394
0.533073,0.450888,0.257257,0.185425,0.154886,0.151695,0.155199,0.158234,0.157129
0.533635,0.450363,0.262250,0.191379,0.157263,0.151702,0.153989,0.157728,0.159062
0.533630,0.448987,0.262033,0.176996,0.158521,0.152478,0.155086,0.157460,0.158486
0.534604,0.449819,0.259548,0.174987,0.160297,0.157346,0.153094,0.162133,0.155952
0.530498,0.453771,0.261686,0.177292,0.152456,0.155746,0.156234,0.161553,0.154698
0.529805,0.452255,0.255618,0.177399,0.158642,0.155350,0.160649,0.157638,0.156257
0.529369,0.452817,0.260642,0.180414,0.161662,0.157280,0.151327,0.159060,0.156487
0.530894,0.452822,0.263142,0.177012,0.156508,0.157943,0.151709,0.158096,0.155337
0.529133,0.451094,0.259568,0.179228,0.153910,0.153366,0.152525,0.158318,0.159524
