MATLAB
0.605618
0.593055
0.587246
0.588312
0.612504
0.587388
0.598501
0.593764
0.640788
0.599872
0.717749
0.632081
0.601376
0.614666
0.643814
0.600413
0.609094
0.596076
0.733280
0.677889
0.581865
0.594037
0.578226
0.581491
0.581086
0.579598
0.579330
0.581342
0.584594
0.587556
0.578068
0.581824
0.582596
0.579913
0.583078
0.580277
0.580288
0.627304
0.647953
0.587785
0.586500
0.581421
0.582247
0.583161
0.582634
0.583046
0.598034
0.581990
0.584246
0.576450
0.575850
0.575707
0.576768
0.576234
0.580175
0.574900
0.575076
0.578882
0.580347
0.579928
0.582538
0.581495
0.582591
0.582754
0.582880
0.583186
0.584192
0.584120
0.582965
0.584613
0.583682
0.580134
0.582749
0.588331
0.582110
0.586998
0.580186
0.582404
0.591213
0.580949
0.577934
0.575125
0.583317
0.584460
0.585601
0.583519
0.654586
0.589992
0.591180
0.589524
0.589112
0.584847
0.584742
0.580739
0.585232
0.584789
0.587459
0.584749
0.594716
0.584336
