BFS
0.315812
0.305851
0.305514
0.306033
0.306005
0.305969
0.305613
0.305359
0.305327
0.305690
0.305922
0.306264
0.305620
0.306739
0.305404
0.305539
0.305194
0.306122
0.305977
0.306232
0.306172
0.305727
0.306421
0.306155
0.306138
0.305966
0.306084
0.305324
0.305547
0.305682
0.307959
0.307037
0.306266
0.306175
0.306640
0.306324
0.307041
0.305356
0.306616
0.307123
0.306428
0.305554
0.305964
0.306938
0.305812
0.304171
0.305122
0.304870
0.305927
0.305618
0.305873
0.305008
0.306309
0.306024
0.305472
0.304720
0.305966
0.305024
0.308285
0.305738
0.305728
0.305406
0.306211
0.305746
0.305439
0.303772
0.326048
0.306291
0.306536
0.306366
0.307338
0.306426
0.306638
0.306813
0.306676
0.306255
0.306571
0.305327
0.306874
0.305629
0.305663
0.305350
0.305911
0.305381
0.306184
0.306245
0.305764
0.306530
0.306329
0.304237
0.312068
0.312562
0.312037
0.312064
0.312276
0.312048
0.312200
0.312397
0.311001
0.304305
