1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.388224,0.342939,0.292323,0.237207,0.154216,0.130783,0.117548,0.152390,0.142375
0.386782,0.339435,0.290740,0.231376,0.190586,0.130985,0.117797,0.152231,0.139977
0.388028,0.335872,0.287873,0.230466,0.153917,0.130867,0.118567,0.145463,0.139827
0.386124,0.335553,0.287788,0.230637,0.154002,0.130772,0.118155,0.136769,0.142055
0.388069,0.335961,0.289637,0.230842,0.153966,0.130485,0.117426,0.136614,0.138948
0.388729,0.334130,0.289194,0.229116,0.154001,0.130729,0.117302,0.136482,0.141810
0.386267,0.336116,0.291363,0.230119,0.153884,0.131280,0.119341,0.142137,0.141651
0.388270,0.340705,0.288700,0.230806,0.154162,0.130659,0.118368,0.136761,0.141671
0.388715,0.342635,0.289104,0.233146,0.153887,0.130760,0.144515,0.136459,0.138661
0.387569,0.342964,0.289090,0.235160,0.154274,0.130444,0.145048,0.136382,0.143582
0.387738,0.342473,0.287969,0.236591,0.154123,0.131127,0.156694,0.136207,0.142488
0.387251,0.342728,0.289788,0.237272,0.154556,0.130922,0.119424,0.136672,0.142062
0.388594,0.342713,0.289532,0.235715,0.153685,0.130790,0.119078,0.136184,0.141191
0.387714,0.343421,0.289163,0.235514,0.154053,0.130898,0.119089,0.136095,0.143311
0.388264,0.340830,0.288377,0.235979,0.154060,0.130816,0.119050,0.136928,0.143421
0.385896,0.346451,0.289277,0.235705,0.154069,0.132005,0.119008,0.136693,0.129230
0.387701,0.343927,0.288177,0.231688,0.153853,0.138695,0.119051,0.136330,0.153778
0.387805,0.340741,0.289050,0.186158,0.153866,0.131674,0.119266,0.136733,0.140083
0.388958,0.342271,0.289180,0.230877,0.154329,0.132303,0.119332,0.136537,0.141951
0.388459,0.341859,0.286824,0.229692,0.154788,0.132593,0.119041,0.164439,0.144221
0.388465,0.364245,0.290686,0.185289,0.154280,0.133182,0.146150,0.158653,0.146387
0.388392,0.339983,0.288063,0.230403,0.154715,0.132245,0.146452,0.166796,0.144121
0.386859,0.338955,0.288756,0.258033,0.155023,0.131927,0.146563,0.150934,0.139058
0.387346,0.338061,0.288614,0.230993,0.155549,0.131199,0.146870,0.151823,0.160144
0.388335,0.337007,0.287888,0.229955,0.154533,0.131138,0.146465,0.151249,0.148366
0.388336,0.341595,0.288692,0.229489,0.154092,0.132035,0.147007,0.150997,0.142847
0.390618,0.341623,0.287944,0.230670,0.155298,0.134037,0.146320,0.150590,0.143367
0.388482,0.341144,0.291002,0.231456,0.153941,0.132680,0.146493,0.151173,0.144069
0.386689,0.341758,0.288777,0.231232,0.154160,0.132991,0.146470,0.150922,0.143433
0.386424,0.342799,0.289859,0.233260,0.154510,0.157912,0.146162,0.150475,0.115506
0.387647,0.341892,0.290506,0.231485,0.154567,0.139349,0.146068,0.143959,0.144279
