1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.957721,0.729908,0.404881,0.296804,0.247844,0.232603,0.221631,0.211958,0.212328
0.957671,0.732576,0.402195,0.298477,0.247044,0.233003,0.221966,0.212335,0.211921
0.958697,0.725389,0.401489,0.296041,0.246825,0.233075,0.222040,0.212908,0.211574
0.949068,0.740322,0.400437,0.298900,0.247027,0.232756,0.221481,0.212978,0.211774
0.946532,0.734035,0.404602,0.296763,0.246468,0.232705,0.221869,0.212108,0.211492
0.943200,0.725169,0.402183,0.297022,0.276197,0.232567,0.221849,0.212440,0.212165
0.944318,0.726140,0.400029,0.297923,0.247287,0.232937,0.221337,0.212477,0.211843
0.945458,0.733404,0.399714,0.298515,0.247497,0.232873,0.221760,0.211706,0.211884
0.943605,0.732964,0.399411,0.297251,0.247269,0.232509,0.222437,0.213396,0.211694
0.943985,0.730950,0.398665,0.299066,0.247612,0.232126,0.221395,0.212389,0.211628
0.941961,0.736254,0.399732,0.299817,0.246691,0.232797,0.222078,0.211965,0.211669
0.942674,0.728925,0.398342,0.298259,0.248239,0.232794,0.221583,0.212808,0.211593
0.943607,0.718704,0.400502,0.298638,0.247957,0.233115,0.221341,0.212334,0.211563
0.942995,0.726794,0.400597,0.298025,0.246445,0.232919,0.222099,0.212023,0.211878
0.941827,0.726040,0.405213,0.299112,0.247043,0.233242,0.221821,0.213115,0.212104
0.942757,0.732168,0.400697,0.299430,0.246644,0.232830,0.222127,0.212670,0.212442
0.945197,0.729378,0.400691,0.298836,0.247206,0.233047,0.221965,0.212476,0.211970
0.944281,0.735236,0.400309,0.299094,0.247046,0.233134,0.222129,0.212538,0.211989
0.942237,0.733604,0.400569,0.297800,0.247933,0.233016,0.222282,0.212178,0.212493
0.944208,0.728816,0.404904,0.298131,0.248294,0.233394,0.222141,0.212893,0.212126
0.944944,0.728234,0.401280,0.298933,0.246599,0.233270,0.222236,0.213048,0.212856
0.941050,0.731809,0.401319,0.298227,0.250256,0.233169,0.222264,0.212444,0.212209
0.961510,0.727903,0.402388,0.297705,0.248477,0.233134,0.221708,0.213341,0.212728
0.943956,0.727626,0.401944,0.297149,0.255620,0.232330,0.222246,0.213092,0.213182
0.944384,0.719009,0.406119,0.298228,0.251477,0.233372,0.222153,0.212548,0.212115
0.943945,0.723547,0.402884,0.296571,0.246665,0.233105,0.221781,0.213276,0.211582
0.945156,0.719512,0.407265,0.297807,0.248141,0.232973,0.222048,0.212436,0.211732
0.952961,0.720679,0.403029,0.298323,0.247526,0.233228,0.222125,0.212354,0.213799
0.941451,0.720760,0.404408,0.299425,0.246762,0.232725,0.221577,0.212890,0.212647
0.944114,0.718892,0.403040,0.298407,0.246557,0.232927,0.221705,0.212710,0.212615
0.943656,0.717678,0.403504,0.299291,0.246393,0.232691,0.221942,0.212522,0.212355
