1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.390728,0.213093,0.112135,0.079646,0.063584,0.050642,0.065998,0.051947,0.051280
0.396480,0.211880,0.087204,0.062111,0.063149,0.064796,0.065693,0.052096,0.051469
0.391956,0.213203,0.086994,0.079427,0.050247,0.050589,0.065431,0.051979,0.051297
0.389930,0.211638,0.087354,0.062486,0.064105,0.050641,0.065775,0.067892,0.051446
0.388476,0.211158,0.087828,0.062031,0.050328,0.065976,0.066151,0.051833,0.066385
0.391265,0.214191,0.086984,0.062641,0.064037,0.065136,0.065998,0.051883,0.051396
0.397541,0.212437,0.086543,0.061717,0.064848,0.065411,0.051808,0.052220,0.051336
0.392493,0.212103,0.087018,0.078571,0.063389,0.064547,0.065856,0.051873,0.051402
0.396726,0.210390,0.087569,0.061786,0.051776,0.050439,0.066187,0.052078,0.066386
0.391878,0.214975,0.087367,0.078882,0.063633,0.050653,0.066623,0.051961,0.051286
0.393558,0.212159,0.087691,0.079409,0.063964,0.051329,0.066379,0.066910,0.051783
0.392468,0.213144,0.087015,0.063724,0.050573,0.064599,0.066077,0.051991,0.051364
0.395265,0.209513,0.111722,0.080479,0.063597,0.064743,0.065852,0.051913,0.051730
0.391051,0.212138,0.086928,0.062399,0.050497,0.050562,0.051174,0.052195,0.051344
0.396385,0.207916,0.087486,0.061616,0.050683,0.050592,0.065790,0.052356,0.051411
0.391641,0.213001,0.087202,0.061733,0.063705,0.050721,0.051160,0.051782,0.051201
0.396220,0.212895,0.087221,0.062187,0.063768,0.066273,0.065292,0.051877,0.051511
0.392715,0.211843,0.087427,0.062075,0.063451,0.050722,0.050961,0.067276,0.051389
0.391434,0.211169,0.110990,0.079905,0.063494,0.050342,0.065137,0.051867,0.051174
0.395914,0.206412,0.086476,0.063248,0.050295,0.050572,0.051129,0.051959,0.066185
0.395729,0.211756,0.086843,0.063283,0.063837,0.065002,0.051554,0.052040,0.051365
0.389269,0.212001,0.088558,0.063373,0.049771,0.051046,0.050976,0.052037,0.051200
0.394651,0.212261,0.087588,0.062560,0.063466,0.065735,0.051589,0.066888,0.051691
0.389371,0.212058,0.088150,0.063495,0.049724,0.050362,0.067006,0.051708,0.051331
0.396559,0.213816,0.087066,0.061790,0.063473,0.064868,0.051016,0.052065,0.051465
0.390432,0.213256,0.087858,0.063262,0.051177,0.065431,0.051101,0.052181,0.051571
0.391546,0.211597,0.088789,0.063248,0.063748,0.064801,0.066065,0.051893,0.051316
0.396683,0.205550,0.086928,0.081028,0.064361,0.051352,0.051058,0.066630,0.066213
0.392914,0.214156,0.089294,0.080594,0.049887,0.064674,0.066173,0.051760,0.051291
0.395751,0.212843,0.111680,0.063090,0.063587,0.065148,0.065776,0.051682,0.051284
0.391703,0.212031,0.087787,0.079870,0.052458,0.051773,0.065972,0.051903,0.051346
