1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
4.915780,2.856381,2.288012,2.486448,2.497142,2.532083,2.594904,2.629350,2.723138
4.859918,2.880028,2.281965,2.462413,2.502996,2.520904,2.592192,2.670928,2.698810
4.853485,2.873422,2.302129,2.496994,2.480473,2.546194,2.590127,2.667560,2.726821
4.840433,2.853243,2.316473,2.458698,2.486656,2.563272,2.600488,2.643553,2.724448
4.828142,2.872947,2.291173,2.475126,2.503824,2.562169,2.615064,2.674576,2.699682
4.828408,2.879744,2.276769,2.466652,2.479497,2.527147,2.586258,2.674966,2.700589
4.836692,2.861872,2.272680,2.449198,2.475631,2.534143,2.596520,2.660564,2.721079
4.858475,2.874250,2.274266,2.448439,2.501144,2.540061,2.598299,2.647184,2.722068
4.876087,2.759654,2.283327,2.444203,2.480940,2.538843,2.618376,2.645110,2.722033
4.934605,2.855668,2.288078,2.463209,2.479603,2.520819,2.592812,2.665413,2.701565
4.956832,2.881768,2.286892,2.473247,2.501614,2.541206,2.605640,2.666468,2.704469
4.956615,2.858951,2.294396,2.429352,2.501620,2.532856,2.575838,2.652783,2.707496
4.908782,2.748628,2.287116,2.429601,2.492118,2.519471,2.587323,2.667896,2.699910
4.857041,2.755527,2.316480,2.442956,2.467660,2.546047,2.592611,2.657723,2.725570
4.907420,2.872939,2.300196,2.453307,2.479008,2.543234,2.596942,2.666093,2.722404
4.953952,2.751467,2.314744,2.445011,2.479834,2.529969,2.584170,2.676113,2.704306
4.845818,2.755027,2.295045,2.466466,2.473651,2.532998,2.615472,2.677405,2.728688
4.846919,2.848530,2.301460,2.459685,2.485679,2.533854,2.587938,2.647628,2.703141
4.865743,2.738212,2.305652,2.424323,2.494321,2.545244,2.587298,2.645293,2.723453
4.850271,2.870841,2.293188,2.431263,2.475020,2.531634,2.586937,2.671169,2.721353
4.861761,2.809657,2.295903,2.436510,2.475919,2.522191,2.605026,2.647143,2.722828
4.960760,2.735912,2.295209,2.458904,2.477466,2.556308,2.607636,2.665329,2.723128
4.960192,2.716868,2.295878,2.461381,2.497924,2.524578,2.584766,2.666215,2.699711
4.939816,2.718727,2.298840,2.467214,2.478857,2.563218,2.604590,2.661100,2.718581
4.849427,2.733193,2.277354,2.458535,2.478904,2.525514,2.617168,2.658415,2.724795
4.849285,2.744456,2.293779,2.457390,2.479088,2.519041,2.575443,2.667789,2.722443
4.916958,2.744638,2.297187,2.462951,2.496625,2.548194,2.584921,2.676311,2.697257
4.944396,2.720135,2.298861,2.487688,2.494350,2.573476,2.596243,2.639129,2.726184
4.849759,2.722877,2.311682,2.471852,2.478203,2.555782,2.602213,2.680441,2.706721
4.848448,2.717471,2.301452,2.461567,2.501411,2.522880,2.614221,2.675419,2.707367
4.851726,2.749380,2.287377,2.428387,2.502027,2.552705,2.589119,2.652913,2.723138
