1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
4.984600,3.263382,2.432514,2.219495,2.300101,2.347960,2.368179,2.428419,2.479043
4.983567,3.290308,2.432851,2.326852,2.284107,2.260574,2.376003,2.427152,2.499908
4.986539,3.290310,2.391936,2.374348,2.326393,2.344919,2.405384,2.415626,2.498291
4.987361,3.215321,2.442622,2.345362,2.302482,2.382961,2.410418,2.439051,2.462667
4.983779,3.237872,2.412549,2.263609,2.289309,2.342362,2.316612,2.437431,2.498705
4.990742,3.245076,2.400935,2.342597,2.302270,2.317655,2.400629,2.461097,2.485503
4.995742,3.200025,2.365549,2.352843,2.297048,2.349221,2.363340,2.430935,2.472009
4.984152,3.274924,2.466542,2.312027,2.286844,2.325255,2.389025,2.459784,2.484297
4.986598,3.260883,2.413376,2.350727,2.323755,2.302020,2.358785,2.423057,2.502918
4.984895,3.261466,2.193864,2.325264,2.278973,2.335535,2.411592,2.449504,2.497904
4.988458,3.209497,2.389363,2.255428,2.324937,2.377143,2.387422,2.433527,2.502711
4.982908,3.218671,2.403779,2.299248,2.342927,2.351371,2.372885,2.400288,2.494899
4.970016,3.255244,2.375911,2.343207,2.348798,2.321305,2.383639,2.429354,2.483537
4.990630,3.240605,2.406815,2.281598,2.306578,2.322273,2.393397,2.447435,2.473510
4.973430,3.238133,2.422543,2.315843,2.313363,2.318258,2.367674,2.434899,2.467317
4.988918,3.251858,2.206015,2.304248,2.300390,2.336264,2.406284,2.431931,2.471364
4.983765,3.253570,2.400808,2.310458,2.314217,2.325188,2.427103,2.448292,2.473752
4.985652,3.235645,2.392514,2.307246,2.273404,2.367148,2.415481,2.405666,2.494745
4.986068,3.239352,2.398352,2.345907,2.309751,2.331700,2.398821,2.429955,2.505818
4.977053,3.250897,2.399518,2.362586,2.319369,2.290749,2.377192,2.431352,2.492249
5.010030,3.221743,2.384279,2.293779,2.275721,2.344418,2.371571,2.444085,2.468179
5.095061,3.203803,2.237747,2.311527,2.328102,2.346717,2.377246,2.428424,2.453083
4.984496,3.197854,2.427620,2.259086,2.294101,2.335899,2.367019,2.443593,2.474352
4.970807,3.194694,2.388560,2.372725,2.297281,2.346455,2.360386,2.428599,2.484270
4.989985,3.248165,2.394545,2.276748,2.296890,2.341334,2.402286,2.447154,2.474104
4.987035,3.255838,2.390310,2.370312,2.309081,2.359570,2.390331,2.430555,2.484023
4.978534,3.233113,2.227686,2.305278,2.310410,2.371666,2.368542,2.420069,2.484442
4.986270,3.232417,2.438463,2.253445,2.296297,2.284897,2.394103,2.431151,2.465708
4.984704,3.236010,2.197182,2.336204,2.315236,2.322292,2.403979,2.428122,2.489595
4.985314,3.239135,2.179604,2.314070,2.344607,2.344942,2.423502,2.418537,2.493175
4.989719,3.244296,2.418529,2.320652,2.320476,2.372486,2.378081,2.430985,2.488429
